no,year,Month,day,SEX,LANDSTATION,TL,JAWPROJ,ROSTBH,ROSTJAW,ROSTEYE,ROSTFLIP,EYEEAR,NOTCH2DORS,WFLUKES,NOTCHANUS,NOTCHUMBIL,ANUSREPRO,HDORS,BDORS,FLIPTIP,FLIPAXIL,WFLIP,LHEAD,LSNOUT,FLUKESTIP2NOTCH
1,1953,7,5,m,Ayukawa,144,,19,12,17,52,,43,14,38,73,9,4,8,,,,,,23
2,1953,7,15,m,Ayukawa,253,,33,21,31,68,,67,,80,140,15,9.5,23,37,27,14,,17,
3,1953,8,8,m,Ayukawa,870,5,,56,97,200,17,240,65,255,490,65,22,55,100,65,35,,57,110
4,1953,8,6,m,Ayukawa,970,10,104,63,82,208,15,265,75,273,550,80,32,60,115,81,42,,60,154
5,1953,7,13,m,Ayukawa,995,6,110,69,85,210,,270,,290,555,60,22,65,126,80,42,,59,
6,1953,7,24,m,Ayukawa,995,9,118,64,108,207,,285,,287,580,82,25,56,127,80,41,,65,
7,1953,8,5,m,Ayukawa,995,8,111,65,105,222,21,260,,290,570,80,28,60,125,78,43,,60,135
8,1953,8,4,m,Ayukawa,1000,9,112,57,100,218,20,280,,280,580,70,27,60,126,88,43,,61,
9,1953,7,24,m,Ayukawa,1015,13,102,70,94,215,,290,,305,590,60,29,60,,,42,,60,
10,1953,7,24,m,Ayukawa,1020,8,112,63,110,230,,272,,280,564,81,27,96,126,82,42,,61,
11,1953,7,16,m,Ayukawa,1021,9,115,70,102,220,,290,,300,575,70,27,70,128,85,43,,65,
12,1953,7,25,m,Ayukawa,1025,,115,62,94,210,20,280,,290,605,80,27,60,126,80,45,,64,
13,1953,7,15,m,Ayukawa,1030,7,110,75,103,230,,270,,280,580,80,29,60,120,84,42,,64,
14,1953,7,23,m,Ayukawa,1030,11,118,62,109,222,,305,,280,590,50,25,60,125,81,42,,63,
15,1953,7,26,m,Ayukawa,1032,8,113,62,92,222,19,300,75,300,597,70,28,63,134,82,46,130,64,
16,1953,7,14,m,Ayukawa,1040,,120,69,98,215,23,260,,310,615,70,22,80,118,77,42,,68,
17,1953,7,24,m,Ayukawa,1049,9,105,57,87,235,,309,,307,615,101,,,130,82,42,,64,
18,1953,7,13,m,Ayukawa,1050,,110,65,96,220,,280,,280,590,60,28,90,116,87,43,,63,
19,1953,7,16,m,Ayukawa,1052,,115,70,105,218,,280,,280,570,60,20,60,125,85,42,,70,
20,1953,7,13,m,Ayukawa,1055,9,115,66,98,220,,290,,300,600,80,,100,120,84,46,,62,
21,1953,7,25,m,Ayukawa,1060,11,116,62,90,225,21,270,,315,597,68,27,70,132,84,42,,65,
22,1953,7,23,m,Ayukawa,1090,8,120,65,93,240,,270,,320,650,100,29,90,133,82,44,,61,
23,1952,7,19,m,Chiba,164,,22.5,12.5,,,,45,,,84,9,5.6,11,24,,,,,23
24,1952,7,20,m,Chiba,982,,105,68,100,,,300,,,580,70,,65,125,,,,55,143
25,1952,7,25,m,Chiba,1012,,110,80,108,,,287,,,644,64,22,72,122,,,,70,150
26,1952,7,27,m,Chiba,1012,,,62,95,,,310,,,555,78,22,55,122,,,,59,152
27,1952,7,27,m,Chiba,1024,,105,67,95,,,268,,,574,81,28,65,137,,,,62,133
28,1953,7,28,f,Ayukawa,148,,20,11.5,20.5,44,,43,,44,79,5,3.5,8,22.5,16,7,,10,24
29,1953,8,8,f,Ayukawa,261,,35,18,34,74,,71,27,80,140,10,8,14,44,26,15,50,16,36
30,1953,8,17,f,Ayukawa,1000,9,112,68,111,214,,285,,320,590,60,30,55,120,82,45,,64,
31,1953,7,25,f,Ayukawa,1020,,118,60,92,205,21,280,,280,620,50,31,80,125,82,42,,64,
32,1953,7,15,f,Ayukawa,1030,7,115,75,,220,,280,,270,600,30,30,80,130,85,44,,70,
33,1953,7,23,f,Ayukawa,1110,8,134,74,105,248,,305,,315,640,60,32,68,140,85,45,,72,
34,1953,8,17,f,Ayukawa,1115,10,120,70,120,250,20,350,,330,650,40,30,60,135,85,43,,68,
35,1953,8,2,f,Chiba,1098,,114,65,100,,,315,,,615,20,25,57,115,,,,62,154