no,sex,TL,ROSTBH,NOTCH2APEXDORS,HDORS,WDORS
1,m,48,5,25,3,8
2,m,58,7,29.5,3.4,9
3,m,67,7.5,34,3,10
4,m,101,11.5,51,7,15
5,m,127,18,64,10,22
6,m,129,18,66,10.5,22
7,m,132,18,66,12,27
8,m,140,18,71,19,29
9,m,182,22,85,16,40
10,m,241,,,20,44
11,m,234,26,,,
12,m,244,25,,,48
13,m,253,29,,20,50
14,m,265,30,128,20,54
15,m,267,31,,20,49
16,m,279,30,147,22,60
17,m,282,28,,,
18,m,292,31,160,21,59
19,m,302,36,156,24,55
20,m,308,34,,24,57
21,m,317,37,171,23,71
22,m,325,38,172,25,73
23,m,328,35,184,25,62
24,m,341,39,,27,70
25,m,343,35,,,
26,m,344,40,187,27,70
27,m,346,38,,25,62
28,m,352,40,192,29,71
29,m,355,41,198,28,64
30,m,362,42,208,29,65
31,m,363,,203,,
32,m,366,39,214,26,67
33,m,370,33,200,,
34,m,385,44,223,36,79
35,m,391,43,214,31,86
36,m,392,42,,31,77
37,m,394,42,227,,
38,m,396,39,228,29,80
39,m,418,40,240,31,
40,m,424,40,240,34,
41,m,424,43,,33,
42,m,432,39,249,36,96
43,m,434,38,238,33,97
44,m,439,50,254,45,93
45,m,445,45,241,41,95
46,m,453,40,275,43,105
47,m,455,44,260,38,98
48,m,459,42,,37,
49,m,473,41,259,50,97
50,m,475,46,292,50,99
51,m,482,43,272,45,102
52,m,491,45,291,40,105
53,f,27,1.6,14.5,1.5,4
54,f,29.8,1.8,15.5,1.5,5
55,f,30.6,2.5,15.8,2,5.4
56,f,35.8,2.8,18.5,2.5,6
57,f,55,6,26,3.5,9.5
58,f,67,8,32,3.5,10.5
59,f,127,19,65,11,26
60,f,130,20,68,12,27
61,f,130,15,73,12,26
62,f,190,24,99,16,85
63,f,190,18,96,15,39
64,f,200,26,104,16,39
65,f,200,25,,15,35
66,f,228,29,126,19,43
67,f,254,31,136,17,45
68,f,256,30,144,,
69,f,260,29,143,21,46
70,f,268,32,,17,51
71,f,282,34,149,22,53
72,f,283,36,156,23,43
73,f,286,38,161,21,53
74,f,287,35,,25,60
75,f,290,,,20,58
76,f,294,35,157,24,50
77,f,304,34,160,,
78,f,307,31,,23,64
79,f,312,37,169,22,49
80,f,313,36,182,19,44
81,f,320,35,,20,61
82,f,321,33,165,22,60
83,f,322,31,182,20,56
84,f,326,35,174,27,68
85,f,326,35,170,23,65
86,f,327,38,181,29,66
87,f,328,37,189,24,67
88,f,334,37,183,25,64
89,f,334,36,190,22,71
90,f,335,29,190,21,59
91,f,338,34,,25,73
92,f,338,30,197,22,60
93,f,340,35,192,24,60
94,f,340,35,176,30,60
95,f,341,37,188,25,66
96,f,341,36,201,20,61
97,f,342,35,195,28,68
98,f,342,35,,25,65
99,f,343,38,193,28,60
100,f,343,,,,
101,f,344,,192,,
102,f,344,,,,
103,f,345,35,190,21,60
104,f,345,37,198,26,58
105,f,345,32,196,26,71
106,f,346,32,203,24,64
107,f,347,40,188,24,70
108,f,347,35,,25,67
109,f,347,32,,23,67
110,f,347,,192,,
111,f,348,40,206,32,63
112,f,348,35,,25,73
113,f,352,39,,27,70
114,f,352,34,196,24,63
115,f,353,35,196,26,77
116,f,353,35,191,22,69
117,f,354,38,201,23,62
118,f,354,36,206,27,66
119,f,354,35,190,21,72
120,f,354,,,,
121,f,355,37,198,33,71
122,f,355,35,201,20,67
123,f,353,34,,25,65
124,f,356,37,189,25,73
125,f,357,33,206,23,70
126,f,357,34,,24,65
127,f,357,,189,,
128,f,358,41,205,33,79
129,f,358,37,,24,
130,f,358,39,215,32,66
131,f,358,37,193,22,70
132,f,360,39,,25,69
133,f,361,40,199,30,70
134,f,361,32,,,
135,f,361,,198,,
136,f,361,,202,,
137,f,363,35,195,28,75
138,f,364,35,202,24,73
139,f,365,36,,24,70
140,f,365,36,,,
141,f,365,32,,,
142,f,367,,,,
143,f,369,38,205,29,76
144,f,369,41,218,31,
145,f,371,35,213,27,72
146,f,372,36,,27,71
147,f,373,37,215,30,65
148,f,373,37,,,
149,f,374,41,,34,84
150,f,374,36,214,28,73
151,f,374,37,192,28,77
152,f,376,38,,,
153,f,377,41,,78,
154,f,378,37,220,33,80
155,f,378,42,,30,75
156,f,381,39,204,,74
157,f,387,38,,28,70
158,f,388,38,229,26,82
159,f,388,,223,20,66
160,f,392,40,,29,62